Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     5551     0.00     0.00  int* std::__niter_base<int*>(int*) (stl_algobase.h:277 @ 4de8)
  0.00      0.00     0.00     5551     0.00     0.00  void std::_Destroy<int*>(int*, int*) (stl_construct.h:127 @ 149f)
  0.00      0.00     0.00     5551     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) (stl_construct.h:203 @ 1412)
  0.00      0.00     0.00     5550     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&) (alloc_traits.h:94 @ 4e4d)
  0.00      0.00     0.00     5550     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const (stl_vector.h:119 @ 489e)
  0.00      0.00     0.00     5550     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&) (alloc_traits.h:504 @ 5240)
  0.00      0.00     0.00     5550     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) (stl_uninitialized.h:99 @ 5506)
  0.00      0.00     0.00     5550     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) (stl_vector.h:326 @ 461e)
  0.00      0.00     0.00     5550     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) (stl_construct.h:74 @ 4cb5)
  0.00      0.00     0.00     5550     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) (stl_algobase.h:420 @ 58f4)
  0.00      0.00     0.00     5550     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) (stl_uninitialized.h:115 @ 526f)
  0.00      0.00     0.00     5550     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&) (stl_uninitialized.h:287 @ 4e9f)
